"Name","Code","Count"
"Acadian Flycatcher","ACFL",849
"Alder Flycatcher","ALFL",1514
"American Avocet","AMAV",1178
"American Bittern","AMBI",773
"American Coot","AMCO",899
"American Crow","AMCR",3518
"American Golden-Plover","AMGP",986
"American Goldfinch","AGOL",2083
"American Goshawk","AGOS",1180
"American Kestrel","AMKE",844
"American Pipit","AMPI",776
"American Redstart","AMRE",1494
"American Robin","AMRO",3340
"American Three-toed Woodpecker","ATTW",1154
"American Tree Sparrow","ATSP",1582
"American Wigeon","AMWI",753
"American Woodcock","AMWO",1446
"Anna's Hummingbird","ANHU",1611
"Arctic Tern","ARTE",1138
"Baird's Sandpiper","BASA",959
"Baird's Sparrow","BAIS",802
"Bald Eagle","BAEA",1708
"Baltimore Oriole","BAOR",1451
"Bank Swallow","BANS",651
"Barn Owl","BANO",637
"Barn Swallow","BARS",1087
"Barred Owl","BADO",948
"Bay-breasted Warbler","BBWA",740
"Bell's Vireo","BEVI",1228
"Belted Kingfisher","BEKI",680
"Bewick's Wren","BEWR",3184
"Black Tern","BLTE",1298
"Black-and-white Warbler","BAWW",1480
"Black-backed Woodpecker","BBWO",1225
"Black-bellied Plover","BBPL",1330
"Black-billed Cuckoo","BBCU",780
"Black-billed Magpie","BBMA",823
"Black-capped Chickadee","BCCH",3264
"Black-crowned Night Heron","BCNH",490
"Black-headed Grosbeak","BHGR",2439
"Black-throated Blue Warbler","BTBW",1031
"Black-throated Gray Warbler","BTGW",954
"Black-throated Green Warbler","BTNW",1316
"Blackburnian Warbler","BLBW",847
"Blackpoll Warbler","BLPW",944
"Blue Jay","BLJA",2136
"Blue-gray Gnatcatcher","BGGN",1732
"Blue-headed Vireo","BHVI",1644
"Blue-winged Teal","BWTE",840
"Blue-winged Warbler","BWWA",798
"Bobolink","BOBO",1315
"Bohemian Waxwing","BOWA",1110
"Bonaparte's Gull","BOGU",788
"Boreal Chickadee","BOCH",2499
"Boreal Owl","BOOW",1116
"Brant","BRAN",1554
"Brewer's Blackbird","BRBL",1567
"Brewer's Sparrow","BRSP",1590
"Broad-winged Hawk","BWHA",843
"Brown Creeper","BRCR",1976
"Brown Thrasher","BRTH",2358
"Brown-headed Cowbird","BHCO",1644
"Bufflehead","BUFF",520
"California Gull","CAGU",4025
"California Quail","CAQU",1439
"Canada Goose","CANG",1508
"Canada Jay","CAJA",839
"Canada Warbler","CAWA",1197
"Cape May Warbler","CMWA",706
"Carolina Wren","CARW",2099
"Caspian Tern","CATE",850
"Cassin's Vireo","CAVI",1800
"Cedar Waxwing","CEDW",1237
"Cerulean Warbler","CERW",976
"Chestnut-backed Chickadee","CBCH",2478
"Chestnut-collared Longspur","CCLO",1019
"Chestnut-sided Warbler","CSWA",1038
"Chimney Swift","CHSW",705
"Chipping Sparrow","CHSP",1433
"Chuck-will's-widow","CWWI",656
"Clark's Nutcracker","CLNU",889
"Clay-colored Sparrow","CCSP",1169
"Cliff Swallow","CLSW",1063
"Common Gallinule","COGA",1438
"Common Goldeneye","COGO",711
"Common Grackle","COGR",1812
"Common Loon","COLO",986
"Common Merganser","COME",522
"Common Nighthawk","CONI",821
"Common Poorwill","COPO",1178
"Common Raven","CORA",3948
"Common Redpoll","CORE",1043
"Common Tern","COTE",1478
"Common Yellowthroat","COYE",2282
"Connecticut Warbler","CONW",1423
"Cooper's Hawk","COHA",919
"Dark-eyed Junco","DEJU",2674
"Dickcissel","DICK",687
"Double-crested Cormorant","DCCO",524
"Downy Woodpecker","DOWO",1449
"Dunlin","DUNL",1080
"Dusky Flycatcher","DUFL",1640
"Eared Grebe","EAGR",518
"Eastern Bluebird","EABL",977
"Eastern Kingbird","EAKI",1551
"Eastern Meadowlark","EAME",1313
"Eastern Phoebe","EAPH",1506
"Eastern Screech-Owl","EASO",818
"Eastern Towhee","EATO",2142
"Eastern Whip-poor-will","EWPW",1572
"Eastern Wood-Pewee","EAWP",1536
"Eurasian Collared-Dove","EUCD",889
"European Starling","EUST",1572
"Evening Grosbeak","EVGR",1255
"Field Sparrow","FISP",1849
"Forster's Tern","FOTE",698
"Fox Sparrow","FOSP",1054
"Franklin's Gull","FRGU",1303
"Gadwall","GADW",862
"Golden Eagle","GOEA",913
"Golden-crowned Kinglet","GCKI",1853
"Golden-crowned Sparrow","GCSP",2094
"Golden-winged Warbler","GWWA",790
"Grasshopper Sparrow","GRSP",1148
"Gray Catbird","GRCA",2168
"Gray Flycatcher","GRFL",1244
"Gray Partridge","GRAP",1371
"Gray-cheeked Thrush","GCTH",1232
"Great Black-backed Gull","GBBG",1657
"Great Blue Heron","GBHE",1075
"Great Crested Flycatcher","GCFL",1478
"Great Egret","GREG",639
"Great Gray Owl","GGOW",1290
"Great Horned Owl","GHOW",1334
"Greater White-fronted Goose","GWFG",1761
"Greater Yellowlegs","GRYE",1256
"Green Heron","GRHE",1057
"Green-winged Teal","GWTE",882
"Hairy Woodpecker","HAWO",1542
"Harris's Sparrow","HASP",1067
"Henslow's Sparrow","HESP",1145
"Hermit Thrush","HETH",2285
"Herring Gull","HERG",1428
"Hooded Merganser","HOME",276
"Hooded Warbler","HOWA",1061
"Horned Grebe","HOGR",634
"Horned Lark","HOLA",1649
"House Finch","HOFI",1757
"House Sparrow","HOSP",1043
"House Wren","HOWR",2152
"Indigo Bunting","INBU",1495
"Kentucky Warbler","KEWA",912
"Killdeer","KILL",880
"Kirtland's Warbler","KIWA",1289
"Lapland Longspur","LALO",1540
"Lark Sparrow","LASP",1306
"Lazuli Bunting","LAZB",935
"LeConte's Sparrow","LCSP",926
"Least Bittern","LEBI",629
"Least Flycatcher","LEFL",752
"Least Sandpiper","LESA",1324
"Lesser Black-backed Gull","LBBG",1150
"Lesser Yellowlegs","LEYE",858
"Lincoln's Sparrow","LISP",1808
"Loggerhead Shrike","LOSH",1450
"Long-billed Curlew","LBCU",1577
"Long-billed Dowitcher","LBDO",827
"Long-eared Owl","LEOW",1475
"Long-tailed Duck","LTDU",1690
"Louisiana Waterthrush","LOWA",774
"MacGillivray's Warbler","MGWA",1693
"Magnolia Warbler","MAWA",1190
"Mallard","MALL",1109
"Marbled Godwit","MAGO",1071
"Marsh Wren","MAWR",1559
"Merlin","MERL",1024
"Mountain Bluebird","MOBL",1162
"Mountain Chickadee","MOCH",3528
"Mourning Dove","MODO",922
"Mourning Warbler","MOWA",1228
"Mute Swan","MUSW",779
"Nashville Warbler","NAWA",1097
"Nelson's Sparrow","NESP",789
"Northern Cardinal","NOCA",2189
"Northern Flicker","NOFL",1968
"Northern Harrier","NOHA",1462
"Northern Hawk Owl","NHOW",813
"Northern Parula","NOPA",823
"Northern Pintail","NOPI",833
"Northern Pygmy-Owl","NOPO",942
"Northern Rough-winged Swallow","NRWS",894
"Northern Saw-whet Owl","NSWO",1599
"Northern Shoveler","NSHO",527
"Northern Shrike","NSHR",1471
"Northern Waterthrush","NOWA",1171
"Olive-sided Flycatcher","OSFL",920
"Orange-crowned Warbler","OCWA",1200
"Orchard Oriole","OROR",807
"Osprey","OSPR",908
"Ovenbird","OVEN",2050
"Pacific Wren","PAWR",3330
"Pacific-slope Flycatcher","PSFL",2123
"Palm Warbler","PAWA",1041
"Pectoral Sandpiper","PESA",556
"Peregrine Falcon","PEFA",715
"Philadelphia Vireo","PHVI",2316
"Pied-billed Grebe","PBGR",842
"Pileated Woodpecker","PIWO",1655
"Pine Grosbeak","PIGR",635
"Pine Siskin","PISI",1335
"Pine Warbler","PIWA",704
"Prairie Warbler","PRAW",710
"Prothonotary Warbler","PROW",977
"Purple Finch","PUFI",1578
"Purple Martin","PUMA",797
"Red Crossbill","RECR",1610
"Red-bellied Woodpecker","RBWO",1229
"Red-breasted Nuthatch","RBNU",1955
"Red-eyed Vireo","REVI",2497
"Red-headed Woodpecker","RHWO",637
"Red-naped Sapsucker","RNSA",1219
"Red-necked Grebe","RNGR",1031
"Red-necked Phalarope","RNPH",978
"Red-shouldered Hawk","RSHA",564
"Red-tailed Hawk","RTHA",656
"Red-throated Loon","RTLO",2633
"Red-winged Blackbird","RWBL",2403
"Redhead","REDH",500
"Ring-billed Gull","RBGU",1245
"Ring-necked Duck","RNDU",605
"Ring-necked Pheasant","RNEP",1052
"Rock Pigeon","ROPI",706
"Rock Wren","ROWR",1444
"Rose-breasted Grosbeak","RBGR",1502
"Rough-legged Hawk","RLHA",558
"Ruby-crowned Kinglet","RCKI",1557
"Ruby-throated Hummingbird","RTHU",683
"Ruddy Duck","RUDU",407
"Ruddy Turnstone","RUTU",1306
"Ruffed Grouse","RUGR",234
"Rufous Hummingbird","RUHU",1032
"Rusty Blackbird","RUBL",1442
"Sanderling","SAND",1290
"Sandhill Crane","SACR",1209
"Savannah Sparrow","SAVS",1544
"Say's Phoebe","SAPH",1050
"Scarlet Tanager","SCTA",1534
"Sedge Wren","SEWR",2032
"Semipalmated Plover","SEPL",1185
"Semipalmated Sandpiper","SESA",849
"Sharp-shinned Hawk","SSHA",874
"Sharp-tailed Grouse","STGR",827
"Short-billed Dowitcher","SBDO",617
"Short-eared Owl","SEOW",669
"Snow Bunting","SNBU",1057
"Snow Goose","SNGO",1409
"Solitary Sandpiper","SOSA",805
"Song Sparrow","SOSP",2537
"Sora","SORA",1632
"Spotted Sandpiper","SPSA",1608
"Spotted Towhee","SPTO",1410
"Sprague's Pipit","SPPI",915
"Steller's Jay","STJA",1081
"Summer Tanager","SUTA",912
"Swainson's Hawk","SWHA",862
"Swainson's Thrush","SWTH",1692
"Swamp Sparrow","SWSP",1746
"Tennessee Warbler","TEWA",1447
"Thick-billed Longspur","TBLO",1662
"Townsend's Solitaire","TOSO",2004
"Townsend's Warbler","TOWA",1029
"Tree Swallow","TRES",1574
"Trumpeter Swan","TRUS",989
"Tufted Titmouse","TUTI",1911
"Tundra Swan","TUSW",1421
"Upland Sandpiper","UPSA",675
"Varied Thrush","VATH",935
"Veery","VEER",1454
"Vesper Sparrow","VESP",1008
"Violet-green Swallow","VGSW",1882
"Virginia Rail","VIRA",1162
"Warbling Vireo","WAVI",2998
"Western Grebe","WEGR",805
"Western Kingbird","WEKI",1618
"Western Meadowlark","WEME",1662
"Western Tanager","WETA",1291
"Western Wood-Pewee","WEWP",1469
"Whimbrel","WHIM",1297
"White-breasted Nuthatch","WBNU",2172
"White-crowned Sparrow","WCSP",2509
"White-eyed Vireo","WEVI",1771
"White-rumped Sandpiper","WRSA",315
"White-throated Sparrow","WTSP",2488
"White-winged Crossbill","WWCR",1270
"Wild Turkey","WITU",868
"Willet","WILL",2624
"Willow Flycatcher","WIFL",870
"Willow Ptarmigan","WIPT",609
"Wilson's Phalarope","WIPH",591
"Wilson's Snipe","WISN",1019
"Wilson's Warbler","WIWA",1210
"Winter Wren","WIWR",2652
"Wood Duck","WODU",701
"Wood Thrush","WOTH",2128
"Yellow Rail","YERA",1208
"Yellow Warbler","YEWA",1715
"Yellow-bellied Flycatcher","YBFL",1561
"Yellow-bellied Sapsucker","YBSA",1110
"Yellow-billed Cuckoo","YBCU",668
"Yellow-breasted Chat","YBCH",1079
"Yellow-headed Blackbird","YHBL",1703
"Yellow-rumped Warbler","YRWA",3192
"Yellow-throated Vireo","YTVI",1976
"Yellow-throated Warbler","YTWA",865
